"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS015426","MD0150400BWC","Rock Hall","Kent County","MD","Rock Hall Police Department","Police","The Rock hall Police Department uses Axon body-worn cameras. The agency received a grant from the Choptank Electric Cooperative Trust to purchase four body-worn cameras and one year of data storage software.","Municipal","Body-worn Cameras","","Axon","https://www.myeasternshoremd.com/kent_county_news/news/choptank-electric-trust-funds-rhpds-purchase-of-body-worn-cameras/article_4ab8acd7-c913-5553-a9fa-abbb134216fe.html","","Kent County News","","9/15/2022","","","","","","","","","","",""
"AOS015427","NB0530100BWC","Kimball","Kimball County","NE","Kimball Police Department","Police","The Kimball Police Department uses Miufly body-worn cameras.","Municipal","Body-worn Cameras","","Miufly","https://panhandle.newschannelnebraska.com/story/51177536/kimball-pds-k9s-approach-training-time-with-handlers","","Nebraska News Channel","","8/19/2024","https://starherald.com/news/local/crime-courts/nebraska-state-patrol-investigating-former-kimball-police-chief-on-allegations-of-misconduct/article_4d87929e-e87c-11ed-9c94-57e314e9074d.html","","Scottsbluff Star Herald","","5/1/2023","https://www.facebook.com/photo.php?fbid=512875768511481&set=pb.100093671861130.-2207520000&type=3","","Kimball Nebraska Police Department's Facebook page","","2/27/2025",""
"AOS015428","XX0000238BWC","East Lampeter Township","Lancaster County","PA","East Lampeter Township Police Department","Police","The East Lampeter Township Police Department began using WatchGuard body-worn cameras in 2021.","Municipal","Body-worn Cameras","","WatchGuard","https://lancaster.crimewatchpa.com/eastlampeter/9004/post/body-worn-cameras-now-use-east-lampeter-twp-police-department","","Crime Watch PA","","11/2/2021","","","","","","","","","","",""
"AOS015429","NB0550000BWC","Lincoln","Lancaster County","NE","Lancaster County Sheriff's Office","Sheriff","The Lancaster County Sheriff's Office uses Motorola body-worn cameras. The agency received $1 million from the Commerce Justice and Science Appropriations Act for body-worn cameras in 2024.","County","Body-worn Cameras","","Motorola","https://www.facebook.com/photo.php?fbid=1004344401727576&set=pb.100064560765287.-2207520000&type=3","","Lancaster County Sheriff's Office Facebook","","2/6/2025","https://nebraska.tv/news/local/nebraska-law-enforcement-receives-funding-boost-for-radios-body-cameras","","NTV news","","8/7/2024","","","","","",""
"AOS015430","PA0022600BWC","Whitehall","Lehigh County","PA","Whitehall Borough Police Department","Police","The Whitehall Borough Police Department uses Motorola body-worn cameras.","Municipal","Body-worn Cameras","","Motorola","https://patch.com/pennsylvania/baldwin-whitehall/whitehall-police-working-issue-body-cameras-officers","","Patch.com","","8/13/2020","https://whitehallboro.org/wp-content/uploads/2020/08/BWC-Media-Release-Website.doc","","Whitehall Borough Police Department Press Release","","8/1/2020","https://www.facebook.com/photo.php?fbid=988795363288252&set=pb.100064733917552.-2207520000&type=3","","Whitehall Borough Police Department Facebook","","12/10/2024",""
"AOS015432","NB0570000BWC","Stapleton","Logan County","NE","Logan County Sheriff's Office","Sheriff","The Logan County Sheriff's Office uses Axon body-worn cameras.","County","Body-worn Cameras","","Axon","https://www.facebook.com/photo/?fbid=10157780469812071&set=a.10157780468592071","","Logan County Sheriff's Office Facebook","","12/21/2019","https://nebraskalegislature.gov/laws/statutes.php?statute=81-1453","","Nebraska Legislature","","","https://nebraskalegislature.gov/pdf/reports/research/snapshot_bodycam_2020.pdf","","Nebraska Legislature","","11/1/2020",""
"AOS015433","AZ0072300BWC","Phoenix","Maricopa County","AZ","Phoenix Police Department","Police","The Phoenix Police Department uses Axon body-worn cameras. The agency received approval for a five-year contract with Axon Enterprises in 2023.","Municipal","Body-worn Cameras","","Axon","https://www.thefoothillsfocus.com/news/phoenix-s-big-body-cam-costs-feed-a-giant/article_f5c85ea4-2592-11ee-b430-83e0b9d9a808.html","","The Foothills Focus","","7/27/2023","https://www.phoenix.gov/police/community-relations/body-worn-cameras","","City of Phoenix","","","https://cronkitenews.azpbs.org/2019/07/03/phoenix-police-body-cameras/","","Cronkite News","","07/03/2019",""
"AOS015436","HI0050000BWC","Maui","Maui County","HI","Maui Police Department","Police","The Maui Police Department uses Axon body-worn cameras. The agency implemented its body-worn camera program in August 2017.","Municipal","Body-worn Cameras","","Axon","https://www.khon2.com/local-news/two-police-departments-may-increase-body-camera-activations/","","Local News","","11/1/2023","https://www.instagram.com/p/DCp41dbPoXi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==","","Maui Police Department Instagram","","11/21/2024","https://www.mauinews.com/news/local-news/2017/07/mpd-to-implement-body-camera-program/","","Maui News","","7/22/2017",""
"AOS015439","PA0460700BWC","Conshohocken","Montgomery County","PA","Conshohocken Police Department","Police","The Indiana Borough Police Department uses Wolfcom Halo body-worn cameras.","Municipal","Body-worn Cameras","","Wolfcom","https://www.conshohockenpa.gov/resources/news/article/?id=7096","","Borough of Conshohocken's Local Government","","8/12/2024","https://www.conshohockenpa.gov/media/3182/2024-budget.pdf","","Borough of Conshohocken's Local Government","","11/1/2023","https://www.instagram.com/p/DCUIp3pu0W-/","","Indiana Borough Police Department Instagram","","11/13/2024",""
"AOS015440","MD0160400BWC","Rockville","Montgomery County","MD","Montgomery County Police Department","Police","The Montgomery County Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://msa.maryland.gov/megafile/msa/speccol/sc5300/sc5339/000113/026200/026294/20240274e.pdf","","Montgomery County Police Accountability Board (PAB) Annual Report","","12/1/2023","https://www.montgomerycountymd.gov/pol/Resources/Files/PDF/Directives/400/FC%20430_Body%20Worn%20Camera%20System.pdf","","Montgomery County Police Department (Annual Report Document)","","10/27/2022","","","","","",""
"AOS015441","NB0410100BWC","Aurora","Montgomery County","NE","Aurora Police Department","Police","The Aurora Police Department uses Motorola body-worn cameras. The agency received approval to purchase body-worn cameras for $48,260 in 2022.","Municipal","Body-worn Cameras","","Motorola","https://www.auroranewsregister.com/news/commissioners-approve-body-cam-purchase","","Aurora News-Register","","1/11/2022","https://www.facebook.com/photo.php?fbid=751623080326109&set=pb.100064352727080.-2207520000&type=3","","Aurora Police Department Facebook","","12/18/2023","","","","","",""
"AOS015443","PA0481700BWC","Bethlehem","Northampton County","PA","Lower Saucon Township Police Department","Police","The Lower Saucon Township Police Department uses Motorola body-worn cameras as of December 2024. The agency previously purchased WatchGuard Vista body-worn cameras for $44,007 in January 2021.","Municipal","Body-worn Cameras","","Motorola","https://sauconsource.com/2021/01/27/lower-saucon-police-to-begin-wearing-body-cameras/","","Saucon Source","","1/27/2021","https://www.lowersaucontownship.org/minutes/01-20-21.pdf","","Lower Saucon Township","","1/20/2021","https://www.lowersaucontownship.org/newsletter/2021springsummer.pdf","","Lower Saucon Township Newsletter","","6/1/2021",""
"AOS015446","XX0000466BWC","Nebraska City","Otoe County","NE","Otoe County Sheriff's Office","Sheriff","The Otoe Countty Sheriff's Office uses WatchGuard body-worn cameras.","County","Body-worn Cameras","","WatchGuard","https://www.oakridger.com/story/news/politics/county/2015/05/27/ocso-to-solicit-bids-for/34472134007/","","The OakRidger","","5/27/2015","https://www.newschannelnebraska.com/story/45641140/palmyra-standoff-ends-peacefully","","NCN","","1/12/2022","","","","","",""
"AOS015447","NB0690100BWC","Holdrege","Phelps County","NE","Holdrege Police Department","Police","The Holdrege Police Department uses Motorola body-worn cameras.","Municipal","Body-worn Cameras","","Motorola","https://www.facebook.com/photo.php?fbid=933273035561314&set=pb.100066358796688.-2207520000&type=3","","Holdrege Police Department Facebook","","1/22/2025","https://www.facebook.com/photo.php?fbid=875337044688247&set=pb.100066358796688.-2207520000&type=3","","Holdrege Police Department Facebook","","10/27/2024","https://www.facebook.com/photo/?fbid=885579273664024&set=pb.100066358796688.-2207520000","","Holdrege Police Department Facebook","","11/11/2024",""
"AOS015448","MD0171000BWC","Edmonston","Prince George's County","MD","Edmonston Police Department","Police","The Edmonston Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.instagram.com/p/CuZY46Du681/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==","","Edmonston Police Department","","7/10/2023","","","","","","","","","","",""
"AOS015449","MD0170300BWC","Brentwood","Prince George's County","MD","Brentwood Police Department","Police","The Brentwood Police Department uses Motorola body-worn cameras.","Municipal","Body-worn Cameras","","Motorola","https://www.brentwoodmd.gov/DocumentCenter/View/1725/Policy-424---Portable-Audio-Video-Recorders?bidId=","","Brentwood Police Department","","9/8/2024","https://www.instagram.com/p/CfEsS6jrdBv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==","","Brentwood Police Department","","6/21/2024","","","","","",""
"AOS015450","MD0171100BWC","Fairmount Heights","Prince George's County","MD","Fairmount Heights Police Department","Police","The Fairmount Heights Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.instagram.com/p/CmAvQEOIZI9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==","","Fairmount Heights Police Department Instagram","","12/10/2022","","","","","","","","","","",""
"AOS015451","MD0171200BWC","Forest Heights","Prince George's County","MD","Forest Heights Police Department","Police","The Forest Heights Police Department uses Axon body-worn cameras. In 2019, the agency signed a five-year contract with Axon for eight body-worn cameras, cloud storage, and licenses at a total cost of $22,006.50.","Municipal","Body-worn Cameras","","Axon","https://www.instagram.com/reel/C09aIBxrjTT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==","","Forest Heights Police Department Instagram","","12/17/2023","https://forestheightsmd.gov/ArchiveCenter/ViewFile/Item/1431","","Town of Forest Heights","","3/4/2019","","","","","",""
"AOS015452","MD0171600BWC","Landover Hills","Prince George's County","MD","Landover Hills Police Department","Police","The Landover Hills Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/photo.php?fbid=1181194394015249&set=pb.100063740971413.-2207520000&type=3","","Landover Hills Police Department Facebook","","1/21/2025","https://www.fox5dc.com/news/prince-georges-county-police-only-have-80-body-cameras-for-over-1500-officers","","FOX 5","","1/29/2020","","","","","",""
"AOS015453","MD0171900BWC","Mount Rainier","Prince George's County","MD","Mount Rainier Police Department","Police","The Mount Rainier Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.mountrainiermd.org/ImageRepository/Document?documentID=71","","Mount Rainier Maryland Official Website","","","","","","","","","","","","",""
"AOS015454","MD0171700BWC","Laurel","Prince George's County","MD","Laurel Police Department","Police","The Laurel Police Department uses Axon body-worn cameras. The agency began using body-worn cameras in 2012.","Municipal","Body-worn Cameras","","Axon","https://www.cityoflaurel.org/1624/Laurel-Police-Department-Overview","","Laurel Police Department website (City of Laurel Government)","","","https://www.cityoflaurel.org/444/Officer-Worn-Cameras","","Laurel Police Department website (City of Laurel Government)","","","","","","","",""
"AOS015455","MD0173900BWC","New Carrollton","Prince George's County","MD","New Carrollton Police Department","Police","The New Carrollton Police Department uses Coban Focus X2 body-worn cameras.","Municipal","Body-worn Cameras","","Coban","https://www.newcarrolltonmd.gov/DocumentCenter/View/248/General-Orders-Manual-12-15-2021-PDF","","New Carrollton Police Department","","12/15/2021","https://www.nbcwashington.com/news/local/bodycam-video-released-after-new-carrollton-police-kill-man-suspected-in-deadly-11-hour-crime-spree/3555801/","","NBC Washington","","2/29/2024","https://www.instagram.com/p/C-_HuB5yoHa/","","New Carrollton Police Department","","8/22/2024",""
"AOS015456","MD0171800BWC","Morningside","Prince George's County","MD","Morningside Police Department","Police","The Morningside Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","No","https://www.fox5dc.com/news/police-release-body-cam-footage-from-fatal-pursuit-in-morningside","","Fox 5","","9/11/2023","","","","","","","","","","",""
"AOS015457","MD0172600BWC","University Park","Prince George's County","MD","University Park Police Department","Police","The University Park Police Department uses Axon body-worn cameras. The agency began using body-worn cameras in 2020.","Municipal","Body-worn Cameras","","Axon","https://www.upmd.org/Blog.aspx?IID=44","","University Park","","2/12/2020","https://www.upmd.org/163/21st-Century-Policing","","University Park Government Website (21st Century Policing Page)","","","","","","","",""
"AOS015458","MD0172100BWC","Upper Marlboro","Prince George's County","MD","Prince George's County Police Department","Police","The Prince George's County Police Department uses Panasonic body-worn cameras.","Municipal","Body-worn Cameras","","Panasonic","https://wjla.com/features/i-team/prince-georges-county-police-department-officer-body-worn-cam-camera-cameras-falling-off-use-of-force-incidents-crime-i-pro-chief-malik-aziz-steven-tucker-police-brutality","","WJLA (ABC 7 News)","","5/2/2024","https://www.fox5dc.com/news/police-body-cams-are-on-the-way-prince-georges-county-exec-says","","FOX 5 DC","","2/5/2020","https://www.bwcscorecard.org/static/policies/2015-04-18%20PG%20County%20WC%20Policy.pdf","","Prince George's County Police Department","","9/21/2016",""
"AOS015461","MD0180100BWC","Centreville","Queen Anne's County","MD","Centreville Police Department","Police","The Centreville Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.townofcentreville.org/media/2221","","Centreville Town Hall Directory","","3/16/2024","https://www.townofcentreville.org/media/3076","","Centreville Town Hall Directory","","4/12/2024","https://www.townofcentreville.org/media/311","","Centreville Town Hall Directory","","2/20/2020",""
"AOS015462","WV0410100BWC","Beckley","Raleigh County","WV","Beckley Police Department","Police","The Beckley Police Department uses Axon and Motorola body-worn cameras. The agency applied for a $20,349 grant with the Bureau of Justice Assistance's Edward Byrne Justice Assistance Grant Program for FY2021.","Municipal","Body-worn Cameras","","Axon, Motorola Solutions","https://www.facebook.com/photo.php?fbid=910512347779700&set=pb.100064628291888.-2207520000&type=3","","The Beckley Police Department Facebook","","8/15/2024","https://marketplace.register-herald.com/beckley-wv/public-notices/notice-the-city-of-beckley-wil/AC1E03F316390228CDduHo416D20","","The Register-Herald","","7/1/2021","https://www.wvnstv.com/news/raleigh-county-sheriffs-department-to-purchase-cameras/","","WVNS TV","","11/8/2023",""
"AOS015464","NB0740000BWC","Falls City","Richardson County","NE","Richardson County Sheriff's Office","Sheriff","The Richardson County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","https://fcjournal.net/2022/02/01/9000/","","Falls City Journal","","2/1/2022","","","","","","","","","","",""
"AOS015466","MD0190000BWC","Leonardtown","Saint Mary's County","MD","St. Mary's County Sheriff's Office","Sheriff","The St. Mary’s County Sheriff’s Office began using Axon Flex cameras in 2020. The agency previously used Panasonic Arbitrator body-worn cameras, purchased with a $17,127 grant from the Department of Justice's Edward Byrne Memorial Assistance Grant in 2016.","County","Body-worn Cameras","","Axon Flex","https://www.stmaryscountymd.gov/docs/Policy_B3.12_Body_Worn_Cameras.pdf","","St. Mary’s County Sheriff’s Office","","11/18/2020","https://www.firstsheriff.com/","","St. Mary’s County Sheriff’s Office Website (Sheriff’s Message and Department Overview)","","2/5/2025","https://firstsheriff.blogspot.com/2016/05/st-marys-county-sheriffs-office_13.html","","St. Mary’s County Sheriff’s Office News Section","","5/13/2016",""
"AOS015468","CA0390000BWC","Stockton","San Joaquin County","CA","San Joaquin County Sheriff's Office","Sheriff","The San Joaquin County Sheriff’s Office uses Axon body-worn cameras. The agency received approval to purchase 175 Axon body-worn cameras at a cost of $733,252.","County","Body-worn Cameras","","Axon","https://www.lodinews.com/news/article_3f3c57f6-2e64-11e8-8a76-cf12d0afaa33.html","","Lodi News","","3/23/2018","https://www.facebook.com/photo/?fbid=988389379997534&set=a.226677732835373","","San Joaquin County Sheriff’s Office","","11/25/2024","","","","","",""
"AOS015469","XX0000465BWC","Bellevue","Sarpy County","NE","Bellevue Police Department","Police","The Bellevue Police Department uses WatchGuard body-worn cameras. The agency previously used Vievu body-worn cameras starting in 2014.","Municipal","Body-worn Cameras","","WatchGuard","https://www.ketv.com/article/bellevue-officers-start-using-body-cameras-1/7647829","","KETV","","8/22/2014","https://www.facebook.com/photo.php?fbid=566515869277534&set=t.100066372440687&type=3","","BPD Sgt Jess Manning's Facebook","","10/8/2024","","","","","",""
"AOS015470","NB0770400BWC","La Vista","Sarpy County","NE","La Vista Police Department","Police","The La Vista Police Department uses Motorola body-worn cameras. The agency implemented its body-worn camera program 2018.","Municipal","Body-worn Cameras","","Vievu","https://www.cityoflavista.org/1946/Accountability","","City of La Vista Police Department","","","https://fox42kptm.com/news/local/la-vista-police-officers-to-get-body-cameras-at-the-beginning-of-next-year","","Fox42","","12/14/2018","https://x.com/lavistapolice/status/1894775681541927140","","X","","2/26/2025",""
"AOS015471","NB0770000BWC","Papillion","Sarpy County","NE","Sarpy County Sheriff’s Office","Sheriff","The Sarpy County Sheriff's Office uses Axon body-worn cameras. The agency purchased 42 body-worn cameras in 2021.","County","Body-worn Cameras","","Axon","https://www.wowt.com/2021/09/03/sarpy-county-invests-oversight-adding-body-cameras-investigations-team/#","","WOWT","","9/2/2021","https://www.klkntv.com/sarpy-county-sheriffs-office-begins-using-body-cameras/","","KLKN ABC","","9/2/2021","https://www.facebook.com/photo.php?fbid=1129233939246604&set=pb.100064800250317.-2207520000&type=3","","Sarpy County Sheriff's Office Facebook","","5/24/2025",""
"AOS015472","XX0000464BWC","Cedar Bluffs","Saunders County","NE","Cedar Bluffs Police Department","Police","The Cedar Bluffs Police Department uses WatchGuard body-worn cameras.","Municipal","Body-worn Cameras","","WatchGuard","https://www.facebook.com/photo/?fbid=2279246352110279&set=a.719625868072343","","Cedar Bluffs Police Department Facebook Page","","1/19/2019","https://www.facebook.com/218703201622845/photos/pb.100064451031870.-2207520000/1841132052713277/?type=3","","Cedar Bluffs Fire and Rescue Department Facebook Page","","7/21/2021","","","","","",""
"AOS015473","XX0000463BWC","Seward","Seward County","NE","Seward County Sheriff's Office","Police","The Seward County Sheriff's Office uses WatchGuard body-worn cameras. The agency began its body-worn camera program in 2015.","Municipal","Body-worn Cameras","","WatchGuard","https://www.facebook.com/photo.php?fbid=761298446115243&set=pb.100067052839129.-2207520000&type=3","","Seward County Sheriff Facebook","","4/18/2024","https://www.sewardindependent.com/stories/sheriffs-office-buys-body-cameras,5840","","Seward County Independent","","11/4/2015","","","","","",""
"AOS015474","MD0200000BWC","Westover","Somerset County","MD","Somerset County Sheriff's Office","Sheriff","The Somerset County Sheriff's Office uses Axon body-worn cameras.","County","Body-worn Cameras","","Axon","https://www.wmar2news.com/news/local-news/man-dies-following-shootout-with-police-in-somerset-county","","WMAR-TV","","5/16/2022","https://www.facebook.com/photo/?fbid=1029108385926704&set=a.225396282964589","","Somerset County Sheriff's Office","","2/4/2025","","","","","",""
"AOS015475","MD0210200BWC","Oxford","Talbot County","MD","Oxford Police Department","Police","The Oxford Police Department uses Axon body-worn cameras. The agency began using body-worn cameras in May 2023.","Municipal","Body-worn Cameras","","Axon","https://www.wboc.com/news/oxford-police-begin-wearing-body-cameras/article_9e70d40e-ede0-11ed-a49d-9fd81a70834c.html","","WBOC","","5/8/2023","https://oxfordmd.net/wp-content/uploads/2023/02/RELEASE_20230216_T142215_Oxford_Police_Department_Policy_Manual.pdf","","Oxford Police Department","","2/16/2023","","","","","",""
"AOS015477","MD0220100BWC","Boonsboro","Washington County","MD","Boonsboro Police Department","Police","The Boonsboro Police Department uses Motorola body-worn cameras.","Municipal","Body-worn Cameras","","Motorola","https://www.facebook.com/photo.php?fbid=802885095204616&set=pb.100064493988584.-2207520000&type=3","","Boonsboro Police Department Facebook","","3/22/2024","https://www.heraldmailmedia.com/videos/news/2023/02/25/boonsboro-police-department-body-cam-footage-feb-18-2022/11342612002/","","Herald-Mail Media","","2/25/2023","https://www.town.boonsboro.md.us/vertical/sites/%7B91336583-679F-49EC-8CDA-C0EAB540BE40%7D/uploads/1-30-2017_Boonsboro_Body_Camera_Policy_12-19-16.pdf","","Town of Boonsboro","","12/19/2016",""
"AOS015478","MD0220300BWC","Hagerstown","Washington County","MD","Hagerstown Police Department","Police","The Hagerstown Police Department began using Axon body-worn cameras in 2016.","Municipal","Body-worn Cameras","","Axon","https://hagerstownmd.org/DocumentCenter/View/11131/FY22-Adopted-Budget","","Hagerstown City Administrator's Adopted Budget","","7/1/2021","https://eu.heraldmailmedia.com/story/news/local/2016/04/17/body-cameras-a-new-tool-for-law-enforcement-in-washington-county/45634899/","","Herald-Mail Media","","4/17/2016","https://tristatealert.com/body-camera-footage-from-october-24-in-custody-death-involving-hagerstown-pd-released-investigation-continues/","","Tri-State Alert","","3/5/2025",""
"AOS015480","XX0000751BWC","Mead","Weld County","CO","Mead Police Department","Police","The Mead Police Department uses Axon body-worn cameras. The agency received approval for a five-year contract with Axon, totaling $384,971.18, in November 2024. Additionally, the agency received $26,795 from Colorado's Division of Criminal Justice to fund one body-worn camera in 2021.","Municipal","Body-worn Cameras","","Axon","https://mccmeetingspublic.blob.core.usgovcloudapi.net/meadco-meet-e31c606707ba4f5eb6bb57e8f66818d1/ITEM-Attachment-001-805bfaafb8d54f178fe65ff53a7ab01c.pdf","","Mead Town Board of Trustees","","11/25/2024","https://dcj.colorado.gov/body-worn-camera-funding","","Colorado's Division of Criminal Justice","","","https://www.facebook.com/photo/?fbid=1013951947575220&set=pcb.1013952020908546","","Mead Police Department Facebook","","6/3/2025",""
"AOS015482","MD0230200BWC","Fruitland","Wicomico County","MD","Fruitland Police Department","Police","The Fruitland Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/mcdonaldswelburn/photos/t.100064495700809/1940446066344822/?type=3","","Fruitland Police Department Facebook","","5/11/2022","","","","","","","","","","",""
"AOS015483","MD0230300BWC","Salisbury","Wicomico County","MD","Salisbury Police Department","Police","The Salisbury Police Department uses Axon body-worn cameras. The agency first purchased body-worn cameras in 2015 at a cost of $140,000.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/photo.php?fbid=978191007681226&set=pb.100064710066911.-2207520000&type=3","","The Salisbury Police Department Facebook","","12/23/2024","https://salisbury.md/wp-content/uploads/2018/01/Section-213-Body-Worn-Cameras.pdf","","Salisbury Police Department","","9/20/2017","https://www.delmarvanow.com/story/news/local/maryland/2015/01/20/salisbury-police-body-cameras-law-enforcement/22086701/","","Delmarva Now","","1/20/2015",""
"AOS015484","IA0970100BWC","Sioux City","Woodbury County","IA","South Sioux City Police Department","Police","The Sioux City Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.ktiv.com/2024/02/02/sioux-city-police-department-seeking-238-million-purchase-new-body-cameras/","","News station","","2/1/2024","https://www.siouxcitypolice.com/news/2020/12/3/scpd-implements-bwc-program","","Sioux City Police Department","","12/3/2020","https://www.facebook.com/photo.php?fbid=1014672907362494&set=pb.100064593825864.-2207520000&type=3","","South Sioux City Police Department Facebook","","12/24/2024",""
"AOS015485","MD0240400BWC","Snow Hill","Worcester County","MD","Snow Hill Police Department","Police","The Snow Hill Police Department uses Axon body-worn cameras. The agency received a $4,128 grant from the Local Government Insurance Trust to purchase new equipment in 2017.","Municipal","Body-worn Cameras","","Axon","https://baysideoc.net/grant-will-assist-snow-hill-with-body-camera-upgrades/","","Bayside Gazette","","6/8/2017","https://www.facebook.com/photo.php?fbid=834772568748885&set=pb.100066484492443.-2207520000&type=3","","Snow Hill Police Department Facebook","","8/6/2024","","","","","",""
"AOS015489","GA1260000BWC","Griffin","Spalding County","GA","Spalding County Sheriff's Office","Police","The Spalding County Sheriff's Office uses LensLock body-worn cameras. The agency began its body-worn camera program in 2017.","Municipal","Body-worn Cameras","","","https://www.facebook.com/photo.php?fbid=1058769276283304&set=pb.100064507249537.-2207520000&type=3","","Spalding County Sheriff's Office Facebook","","3/28/2025","https://the-grip.net/2017/04/17/sheriffs-office-now-utilizing-body-worn-cameras/","","The Grip","","4/17/2017","","","","","",""
"AOS015491","NB0550100BWC","Lincoln","Lancaster County","NE","Lincoln Police Department","Sheriff","The Lincoln Police Department uses Axon body-worn cameras. The agency began using body-worn cameras in 2017.","County","Body-worn Cameras","","Axon","https://www.lincoln.ne.gov/files/sharedassets/public/police/policies/2070.pdf","","Lincoln Police Department","","4/28/2025","https://www.facebook.com/photo.php?fbid=1161382022700464&set=pb.100064860305542.-2207520000&type=3","","Lincoln Police Department","","6/17/2025","https://www.1011now.com/content/news/Body-camera-video-released-for-the-first-time-as-more-officers-get-cameras-568060071.html","","1011 Now","","2/20/2020",""
"AOS015493","NB0930000BWC","York","York County","NE","York County Sheriff's Department","Sheriff","The York County Sheriff's Department uses WatchGuard body-worn cameras.","County","Body-worn Cameras","","","https://www.yorkcounty.ne.gov/press-releases/new-technology-first-in-state-at-york-county-sheriffs-department-to-prevent-liability-injury-in-high-speed-pursuits","","York County Government","","5/28/2024","","","","","","","","","","",""
"AOS015632","TX1050700BWC","Kyle","Hays County","TX","Kyle Police Department","Police","The Kyle Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://joinkylepd.com/training-technology/","","","","","","","","","","","","","","",""
"AOS015775","CA0191800BWC","Culver City","Los Angeles County","CA","Culver City Police Department","Police","The Culver City Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.facebook.com/photo.php?fbid=639006795023024&set=pb.100067411280177.-2207520000&type=3","","CCPD Facebook","","09/12/2023","","","","","","","","","","",""
"AOS015776","CA0190900BWC","Bell Gardens","Los Angeles County","CA","Bell Gardens Police Department","Police","The Bell Gardens Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","https://da.lacounty.gov/sites/default/files/pdf/JSID-OIS-09-14-22-Salinas_0.pdf","","LA District Attorney","","09/14/2022","","","","","","","","","","",""
"AOS015778","TX1050100BWC","San Marcos","Hays County","TX","San Marcos Police Department","Police","San Marcos Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/photo.php?fbid=1035663008745824&set=pb.100069064035020.-2207520000&type=3","","San Marcos Police Facebook page","","6/9/2025","","","","","","","","","","",""
"AOS015968","XX0000220BWC","Rock Hill","York County","SC","Catawba Nation Tribal Police Department","Police","The Catawba Nation Tribal Police Department uses Axon body-worn cameras.","Tribal","Body-worn Cameras","","Axon","https://www.facebook.com/photo.php?fbid=122209017050205035&set=pb.61556151057835.-2207520000&type=3","","Catawba Nation Tribal PD Facebook page","","2/28/2025","","","","","","","","","","",""
"AOS016085","IL0162A00BWC","Schaumburg","Cook County","IL","Schaumburg Police Department","Police","The Schaumburg Police use body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.villageofschaumburg.com/home/showpublisheddocument/4793/638169837586970000","","Schaumburg Police","","3/21/2023","","","","","","","","","","",""
"AOS016567","NY0550100BWC","Kingston","Ulster County","NY","Kingston Police Department","Police","The Kingston Police Department uses Axon body-worn cameras. The agency began its pilot program for body-worn cameras in 2016. Additionally, the agency received $115,000 to purchase 16 body-worn cameras and related equipment on April 2018.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/photo.php?fbid=821392266689474&set=pb.100064561247252.-2207520000&type=3","","Facebook","","4/5/2025","https://spectrumlocalnews.com/mo/st-louis/news/2016/03/10/kingston-police-to-start-new-pilot-body-camera-program","","Spectrum News","","03/10/2016","https://www.dailyfreeman.com/2018/04/04/more-body-cameras-okd-for-kingston-police-officers/","","Daily Freeman","","4/4/2018",""
"AOS017806","XX0000870BWC","Felicity","Clermont County","OH","Felicity Police Department","Police","The Felicity Police Department received a $6,426 grant to purchase body-worn cameras in 2025 from the Ohio Office of Criminal Justice Services.","Municipal","Body-worn Cameras","","","https://www.documentcloud.org/documents/26180117-ocjs-bwc-grant-funding-awards-032525-v2/","","Ohio Department of Public Safety","","3/26/2025","https://x.com/GovMikeDeWine/status/1905784219986428270","","Governor Mike DeWine's X account","","3/28/2025","","","","","",""
